MMV name	SMILES	"Pbluc (Single Point Inhibition, %)"	"HepG2tox (Single Point Inhibition, %)"	IC50 PbLuc  2nd Round Average (CDD Vault)	IC90 PbLuc  2nd Round Average (CDD Vault)	 Hill slope PbLuc 2nd Round (CDD Vault)	R squared PbLuc 2nd Round (CDD Vault)	CC50 HepG2tox 2nd Round average (CDD Vault)	CC90 HepG2tox 2nd Round average (CDD Vault)	 Hill slope HepG2tox 2nd Round (CDD Vault)	R squared HepG2tox 2nd Round (CDD Vault)	IC50 FfLuc 2nd round (CDD Vault)	IC90 FfLuc 2nd round (CDD Vault)	 Hill slope FfLuc 2nd Round (CDD Vault)	R squared FfLuc 2nd Round (CDD Vault)
 MMV1127296	OCC1=CC=C(C=C1)C1=CN=C2C=NC(\C=C\C3=CC=CC=C3)=CN12	95.9		0.261	0.659	2.37	0.796	> 10.1	> 10.1	0.99	0.698	> 10.1	> 10.1		
 MMV1127300	OCC1=CC=C(C=C1)C1=CN=C2C=NC(=CN12)C1=CC=C(CNC2=CC=CC=C2)C=C1	91.9		6.07	> 8.12	2.31	0.244	> 8.12	> 8.12			> 8.12	> 8.12		
 MMV1127301	CN(C)C1=C(C=CC=C1)C1=CN2C(C=N1)=NC=C2C1=CC(O)=CC=C1	83.8		> 9.99	> 9.99	10.2	0.0891	> 9.99	> 9.99			> 9.99	> 9.99		
 MMV1127302	CN1CCN(CC1)C1=CC=C(C=N1)C1=CN2C(C=N1)=NC=C2C1=C(C)C=CC=C1	91.9		> 8.58	> 8.58	2.3	0.345	> 8.58	> 8.58			> 8.58	> 8.58		
 MMV1127303	CC(C)N1CCN(CC1)C1=CC=C(C=C1)C1=CN2C(C=N1)=NC=C2C1=CC(O)=CC=C1	83.8		> 7.98	> 7.98	3.65	0.123	> 7.98	> 7.98			> 7.98	> 7.98		
 MMV1127307	CC1=CC=CC(=C1C)C1=CN2C(C=N1)=NC=C2C1=CC(O)=CC=C1	97.3		8.4	> 10.5	4.97	0.533	> 10.5	> 10.5			> 10.5	> 10.5		
 MMV1127368	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=NC(=NO1)C1=CC2=C(OCC2)C=C1	90.2	6	> 10.3	> 10.3			> 10.3	> 10.3			> 10.3	> 10.3		
 MMV1127373	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=NC(=CS1)C1=NC(=NO1)C1=CC=C2NC=CC2=C1	84.2	3	0.232	1.55	1.16	0.583	> 8.24	> 8.24			> 8.24	> 8.24		
 MMV1127557	OC[C@H]1O[C@H](C[C@@H]1O)C1=NC2=CC(=CC=C2N1)C1=NC(=NO1)C1=C(F)C=CC=C1	84.2	-22	2.73	2.9	37.1	0.287	> 8.33	> 8.33			> 8.33	> 8.33		
 MMV1127595	OC[C@H]1O[C@H](C[C@@H]1O)C1=NC(=CS1)C1=NC(=NO1)C1=CC2=C(OCO2)C=C1	85.0	9	0.386	2.15	1.28	0.808	> 8.47	> 8.47			> 8.47	> 8.47		
 MMV1127642	CC1=CC=C(C=C1)C1=NOC(=N1)C1=CSC(=N1)[C@@H]1C[C@H](O)[C@@H](CO)O1	87.2	-11	3.59	> 9.18	1.21	0.165	> 9.18	> 9.18			> 9.18	> 9.18		
 MMV1127720	OC[C@H]1O[C@H](C[C@@H]1O)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1	88.7	3	> 10.1	> 10.1			> 10.1	> 10.1			> 10.1	> 10.1		
 MMV1128069	FC1=CC=CC(=C1)C1=CN(CC(=O)NS(=O)(=O)C2=C(C=CC=C2)C#N)N=N1	93.2	-19	> 8.56	> 8.56			> 8.56	> 8.56			> 8.56	> 8.56		
 MMV1128421	COCCNC(=O)CN1N=NC(C)=C1COC1=CC=C2C=CC=CC2=C1	87.2	-23	> 9.31	> 9.31			> 9.31	> 9.31			> 9.31	> 9.31		
 MMV1128514	CCOC(=O)C1=CC(OC)=C2C=CC=C(CN3CCCCCC3(C)C(=O)NCC(C)C)C2=C1	83.5	31	6.85	> 7.26	12.1	0.495	> 7.26	> 7.26			> 7.26	> 7.26		
 MMV1128584	CN(C)C1=CC=C(NC(=O)C2(C)CCCCN2C)C=C1	94.0	17	6.68	> 12.0	1.77	0.752	> 12.0	> 12.0			> 12.0	> 12.0		
 MMV1128595	CCNC(=O)C1(C)CCCN1CC1=CC=C(C=C1)C1=CC=CC=C1	85.7	46	9.52	> 10.2	14.9	0.606	> 10.2	> 10.2	7.75	0.0398	> 10.2	> 10.2		
 MMV1128722	CCNC(=O)C1(C)CCCN1C(=O)C1=CC=C(OC)C=C1	94.2	19	> 11.4	> 11.4			> 11.4	> 11.4			> 11.4	> 11.4		
 MMV1128771	CC(C)NC(=O)C1(C)CCN1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1	87.2	-8	> 9.81	> 9.81	1.28	0.251	> 9.81	> 9.81			> 9.81	> 9.81		
 MMV1128824	CCCCNC(=O)C1(C)CCCCN1C(=O)C1=CC=C2C(=C1)C(C)(C)CCC2(C)C	86.0	11	7.41	> 8.00	3	0.424	> 8.00	> 8.00			> 8.00	> 8.00		
 MMV1129058	CCC(=O)N1CCC1(C)C(=O)NCC1=CC2=C(OCO2)C=C1	90.7	-11	> 10.8	> 10.8			> 10.8	> 10.8			> 10.8	> 10.8		
 MMV1129073	CCOC(=O)C1(C)CCCN1C(=O)C1=CC=CS1	90.7	22	> 12.3	> 12.3			> 12.3	> 12.3			> 12.3	> 12.3		
 MMV1129121	CCOC(=O)C1(C)CCN1C(=O)C1=CC(OC)=C(OC)C(OC)=C1	88.4	-9	> 9.78	> 9.78			> 9.78	> 9.78			> 9.78	> 9.78		
 MMV1129257	CCOC(=O)C1(C)CCCCN1C(=O)C1=CC=C(C=C1)C(=O)OC	89.5	-9	> 9.90	> 9.90			> 9.90	> 9.90			> 9.90	> 9.90		
 MMV1129719	CC(C)N1CCC(C)(C1)C(=O)NC1=CC=C2C(=O)N(C)C(=O)C2=C1	84.9	-17	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1129754	CCCNC(=O)C1(C)CCN(CC2=CC=C3C=CC=CC3=C2Br)C1	95.2		5.79	> 8.48	5.63	0.42	> 8.48	> 8.48			> 8.48	> 8.48		
 MMV1129776	CCNC(=O)C1CCCN(CCOC2=CC=C(Cl)C=C2)CC1	92.9		> 10.2	> 10.2			> 10.2	> 10.2			> 10.2	> 10.2		
 MMV1129952	CCNC(=O)C1CCCN(CC2=CC=C3C=CC=CC3=C2Br)CC1	92.1		3.23	3.91	11.4	0.606	> 8.48	> 8.48			> 8.48	> 8.48		
 MMV1130018	CCCNC(=O)C1(C)CCN(CC2=CC=C3C=CC=CC3=N2)C1	93.7		> 10.6	> 10.6			> 10.6	> 10.6			> 10.6	> 10.6		
 MMV1130040	CCNC(=O)C1CCCN(CC2=NOC(=N2)C2=C(OC)C=CC=C2)CC1	95.2		> 9.21	> 9.21			> 9.21	> 9.21			> 9.21	> 9.21		
 MMV1130062	CCCNC(=O)C1(C)CCN(CCCC(=O)C2=CC(C)=C(C)C=C2)C1	95.2		> 9.58	> 9.58			> 9.58	> 9.58			> 9.58	> 9.58		
 MMV1130084	CCNC(=O)C1CCCN(CC2=CC(=CC=C2Cl)C(F)(F)F)CC1	99.2		3.38	3.4	383	0.415	> 9.10	> 9.10			> 9.10	> 9.10		
 MMV1130085	COCC(=O)N1CCCC(C)(C1)C(=O)NCC1=NC=C(C)N=C1	93.7		> 10.3	> 10.3			> 10.3	> 10.3			> 10.3	> 10.3		
 MMV1130101	CCC(=O)N1CCCC(CC1)C(=O)NCC1=CC=C(C=C1)C(C)C	83.4		> 9.99	> 9.99			> 9.99	> 9.99			> 9.99	> 9.99		
 MMV1130436	CCCNC(=O)C1(C)CCCN(C1)C(=O)C1=C(C)C(OC(C)=O)=CC=C1	98.4		> 9.16	> 9.16			> 9.16	> 9.16			> 9.16	> 9.16		
 MMV1130442	COCCNC(=O)C1(C)CCCN(C1)C(=O)C1=C(OC)C=C(OC)C=C1	83.4		> 9.06	> 9.06			> 9.06	> 9.06			> 9.06	> 9.06		
 MMV1130458	CCOC(=O)C1CCCN(CC1)C(=O)CC1=C2C=CC=CC2=CC=C1	99.2		> 9.72	> 9.72			> 9.72	> 9.72			> 9.72	> 9.72		
 MMV1130788	CC1=NC(C(=O)N2CCC(C)(C2)C(=O)NS(=O)(=O)C2CC2)=C(C)O1	96.6		> 9.28	> 9.28			> 9.28	> 9.28			> 9.28	> 9.28		
 MMV1130810	CCCS(=O)(=O)NC(=O)C1(C)CCCN(C1)C(=O)C1=C(OC)C=CC=C1	94.1		> 8.63	> 8.63			> 8.63	> 8.63			> 8.63	> 8.63		
 MMV1130947	CN1N(CC2=CC=CC=C2)C2=C(C=C(NC(=O)CC(C)(C)C)C=C2)C1=O	85.7		> 9.39	> 9.39			> 9.39	> 9.39			> 9.39	> 9.39		
 MMV1131255	CCOCCC(=O)NC1=CC2=C(C=C1)N(CC1=CC=CC(=C1)C(F)(F)F)N(C)C2=O	85.7		> 7.83	> 7.83			> 7.83	> 7.83			> 7.83	> 7.83		
 MMV1131277	COC1=CC=CC(CN2N(C)C(=O)C3=C2C=CC(NC(=O)CC2CCCCC2)=C3)=C1	99.2		> 8.10	> 8.10			> 8.10	> 8.10			> 8.10	> 8.10		
 MMV1131278	CN1N(CC=C(C)C)C2=C(C=C(NC(=O)OCCF)C=C2)C1=O	95.8		> 10.3	> 10.3			> 10.3	> 10.3			> 10.3	> 10.3		
 MMV1131595	COC1=CC=C(C=C1)C1=NN=C(NC2=CC3=C(C=C2)N(CC=C(C)C)N(C)C3=O)N1	97.5		> 8.16	> 8.16			> 8.16	> 8.16			> 8.16	> 8.16		
 MMV1131977	CC(=O)N1CCCC(C1)C1=CC(=NO1)C(=O)NC1=CC=CC=C1	87.4		0.0959	1.44	0.811	0.626	> 10.5	> 10.5			2	6.23	1.94	0.745
 MMV1132664	CC1=CC=C(NC(=O)C2=CC(=NN2)C2=C(C)C=CC(Cl)=C2)C=C1NS(C)(=O)=O	85.2		5.92	7.29	10.6	0.45	> 7.88	> 7.88			> 7.88	> 7.88		
 MMV1134237	CN1C(=O)C2=C(C=C(S2)C2=C(C)C=CC=C2)N=C1NCC=C	92.1		> 10.6	> 10.6			> 10.6	> 10.6	8.49	0.617	> 10.6	> 10.6		
 MMV1134445	NC(C1=CSC(NC2=CC=C(N=N2)C2=CC=CC=C2)=N1)C1=CC=CC=C1	85.8		3.06	3.73	11.1	0.371	> 9.18	> 9.18			> 9.18	> 9.18		
 MMV1134482	CCCCOC1=NN=C(NC2=NC(=CS2)C(N)CC2=CC=C(F)C=C2)C=C1	85.4		8.34	> 8.52	19.3	0.0642	> 8.52	> 8.52			> 8.52	> 8.52		
 MMV1134496	COC1=CC=CC(NC2=NC(=CS2)C(N)CC2=CC=C(C=C2)C(F)(F)F)=N1	90.4		3.53	3.58	179	0.233	> 8.37	> 8.37			> 8.37	> 8.37		
 MMV1134498	NC(CC1=CC=CC=C1)C1=CSC(NC2=CC=C(N=N2)C2=CC=CC=C2)=N1	84.0		5.74	5.82	170	0.669	> 8.84	> 8.84			> 8.84	> 8.84		
 MMV1134502	NC(CC1=CC=C(F)C=C1)C1=CSC(NC2=C3C=CC=CC3=CN=N2)=N1	88.6		> 9.03	> 9.03			> 9.03	> 9.03			> 9.03	> 9.03		
 MMV1134518	NC(CC1=CC=C(F)C=C1)C1=CSC(NC2=CC=C(C=N2)C(F)(F)F)=N1	84.8		5.91	5.98	202	0.785	> 8.63	> 8.63			> 8.63	> 8.63		
 MMV1134527	NC(C1CCCCC1)C1=CSC(NC2=CC=C(C=N2)C(F)(F)F)=N1	88.2		7.59	> 9.26	4.28	0.42	> 9.26	> 9.26			> 9.26	> 9.26		
 MMV1134542	NC(CC1=CC=C(Cl)C=C1)C1=CSC(NC2=C3C=CC=CC3=CN=N2)=N1	88.4		5.44	> 8.64	1.01	0.151	> 8.64	> 8.64			> 8.64	> 8.64		
 MMV1134548	NC(CC1=CC=C(C=C1)C(F)(F)F)C1=CSC(NC2=C3C=CC=CC3=CN=N2)=N1	87.0		> 7.94	> 7.94			> 7.94	> 7.94			> 7.94	> 7.94		
 MMV1134552	CCCCOC1=NN=C(NC2=NC(=CS2)C(N)CC2=CC=C(OC)C=C2)C=C1	86.0		3.08	3.76	10.9	0.27	> 8.26	> 8.26			> 8.26	> 8.26		
 MMV1134603	CC1=CC(C)=NC(NC2=NC(=CS2)C(N)CC2=CC=C(C=C2)C(F)(F)F)=N1	90.0		> 8.39	> 8.39			> 8.39	> 8.39			> 8.39	> 8.39		
 MMV1134630	COC1=CC(OC)=NC(NC2=NC(=CS2)C(N)CC2=CC=CC=C2)=N1	84.2		4.47	7.54	4.21	0.584	> 9.23	> 9.23			> 9.23	> 9.23		
 MMV1134636	NC(CCC1=CC=CC=C1)C1=CSC(NC2=CC=C(C=N2)C(F)(F)F)=N1	88.4		4.38	4.5	84.8	0.093	> 8.72	> 8.72			> 8.72	> 8.72		
 MMV1134648	CC1=CN=C(C)C(NC2=NC(=CS2)C(N)CC2=CC=C(C=C2)C(F)(F)F)=N1	88.8		> 8.39	> 8.39			> 8.39	> 8.39			> 8.39	> 8.39		
 MMV1134657	NC(CC1=CC=CC=C1)C1=CSC(NC2=CC=C(C=C2)C(=O)C2=CC=CC=C2)=N1	89.0		1	1.15	15.6	0.562	7.29	> 8.26	7.62	0.882	> 8.26	> 8.26		
 MMV1134670	NC(CC1=CC=C(C=C1)C(F)(F)F)C1=CSC(NC2=NC=NC(OC3=CC=CC=C3)=C2)=N1	85.0		4.26	> 7.21	3.27	0.275	> 7.21	> 7.21			> 7.21	> 7.21		
 MMV1135386	CCCCOC1=NN=C(NC2=NC(=CS2)C(N)CCC2=CC=CC=C2)C=C1	86.3		> 8.60	> 8.60			> 8.60	> 8.60			> 8.60	> 8.60		
 MMV1135418	CCCCOC1=NN=C(NC2=NC(=CS2)C(N)COCC2=CC=CC=C2)C=C1	93.9		> 8.26	> 8.26			> 8.26	> 8.26			> 8.26	> 8.26		
 MMV1135419	NC(CC1=CC=C(F)C=C1)C1=CSC(NC2=NC=NC(NCC3=CC=CO3)=C2)=N1	87.1		> 8.04	> 8.04			> 8.04	> 8.04			> 8.04	> 8.04		
 MMV1135455	CCCCOC1=NN=C(NC2=NC(=CS2)C(N)C2=C(Cl)C=CC=C2)C=C1	90.9		6.01	8.44	6.47	0.485	> 8.46	> 8.46			> 8.46	> 8.46		
 MMV1135519	NC(CCC1=CC=CC=C1)C1=CSC(NC2=CC=C(C=N2)C(=O)NCC2=CC=CO2)=N1	84.0		6.62	7.53	17	0.625	> 7.61	> 7.61	15.2	0.624	> 7.61	> 7.61		
 MMV1135522	NC(CCC1=CC=CC=C1)C1=CSC(NC2=NC=NC(NCCCO)=C2)=N1	87.1		6.73	> 8.58	3.41	0.149	4.07	> 8.58	1.38	0.93	> 8.58	> 8.58		
 MMV1135937	OC(C1=NC(=CN1)C1=CC=CC(=C1)C(F)(F)F)C1=CC(F)=C(Cl)C=C1	87.8		> 8.90	> 8.90			> 8.90	> 8.90			> 8.90	> 8.90	12.1	0.0756
 MMV1136200	CC1=CC(=CC(C)=C1)C(O)C1=NC(=CN1)C1=C2C=CC=CC2=CC=C1	85.3		9.47	> 10.0	13.8	0.489	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1136244	COC1=C(C)C=C(C=C1C)C(O)C1=NC(=CN1)C1=C2C=CC=CC2=CC=C1	88.6		> 9.21	> 9.21			> 9.21	> 9.21	8.48	0.286	8.85	> 9.21	13.5	0.422
 MMV1136441	ClC1=C(C=CC=C1)C1=CN=C2SC(NCC3=CC=CS3)=NN12	86.1		> 9.51	> 9.51			> 9.51	> 9.51			> 9.51	> 9.51	0.509	0.232
 MMV1136456	C(NC1=NN2C(S1)=NC=C2C1=CC=CC=C1)C1=CC=CC=C1	89.4		3.47	4.14	12.3	0.487	> 10.8	> 10.8			> 10.8	> 10.8		
 MMV1136531	CN(C)C1=CC=CC(=C1)C1=CN=C2SC(NCC3=CC=C(F)C=C3)=NN12	84.5		7.83	> 8.98	7.46	0.677	> 8.98	> 8.98			3.88	6.72	4.01	0.615
 MMV1136539	CN(C)C1=CC=CC(=C1)C1=CN=C2SC(NCC3=CC=CC=C3)=NN12	86.1		3.08	3.57	15	0.389	> 9.44	> 9.44			> 9.44	> 9.44		
 MMV1136606	CC(C)(C)NC1=NC2=CC(=NN2C=C1)C1=CC=CO1	86.9		8.49	> 12.9	2.89	0.538	> 12.9	> 12.9			> 12.9	> 12.9		
 MMV1136639	COC1=CC(=CC(OC)=C1OC)C1=NN2C=CC(NC3=CC4=NNC=C4C=C3)=NC2=C1	84.5		7.27	> 7.92	11.7	0.319	> 7.92	> 7.92			> 7.92	> 7.92		
 MMV1136971	CN(C)CCNC(=O)C1=CC=CC(=C1)C1=CN=C2N1C=C(C=C2NC=O)C1=CC(=CC=C1)C(F)(F)F	87.0		> 6.66	> 6.66			> 6.66	> 6.66			> 6.66	> 6.66		
 MMV1137058	CC(=O)NC1=CC(=CN2C(=CN=C12)C1=CC(Cl)=C(F)C=C1)C1=CC=C(C=C1)C(=O)NC1CC1	88.3		> 7.13	> 7.13			> 7.13	> 7.13			> 7.13	> 7.13		
 MMV1137096	OC1CCC(CC1)NC1=NC2=CC(=NN2C=C1)C1=CC(OCC2=CC=CC=C2)=CC=C1	83.3		3.37	7.29	2.85	0.208	> 7.96	> 7.96			> 7.96	> 7.96		
 MMV1137114	CN(C)C(=O)C1=CC=CC(=C1)C1=CN=C2N1C=C(C=C2NC=O)C1=CSC=C1	88.9		> 8.45	> 8.45			> 8.45	> 8.45			> 8.45	> 8.45		
 MMV1137131	COC1=CC(=CC(OC)=C1OC)C1=CN=C2N1C=C(C=C2NC(C)=O)C1=C(OC)C=CC=C1	84.6		2.47	2.96	12.3	0.226	3.89	> 7.37	2.18	0.547	> 7.37	> 7.37		
 MMV1137135	CS(=O)(=O)C1=CC=C(C=C1)C1=CN=C2N1C=C(C=C2NC=O)C1=CC=CC=C1	87.0		6.43	> 8.43	4.26	0.756	> 8.43	> 8.43			> 8.43	> 8.43		
 MMV1137137	CC1=CC=CC(=C1)C1=CN2C(=CN=C2C(NC=O)=C1)C1=CC=C(C=C1)S(C)(=O)=O	87.7		> 8.14	> 8.14			> 8.14	> 8.14	11.3	0.289	> 8.14	> 8.14	0.295	0.0341
 MMV1137168	CS(=O)(=O)C1=CC=C(C=C1)C1=CN=C2N1C=C(C=C2NC=O)C1=CSC=C1	87.0		2.24	4.59	3.07	0.32	> 8.30	> 8.30			> 8.30	> 8.30		
 MMV1137170	CCSC1=CC=C(C=C1)C1=CN2C(=CN=C2C(NC=O)=C1)C1=CC(=CC=C1)C(=O)NCCN(C)C	87.0		> 6.77	> 6.77			> 6.77	> 6.77			> 6.77	> 6.77		
 MMV1137175	COC1=CC(OC)=C(C=C1)C1=CN2C(=CN=C2C(NC=O)=C1)C1=CC(OC)=C(OC)C(OC)=C1	87.0		2.03	5.96	2.04	0.466	1.27	3.69	2.06	0.871	6.97	> 7.12	13.2	0.535
 MMV1137197	COC1=C(O)C=CC(=C1)C1=CN=C2SC(NCC3CCOCC3)=NN12	88.9		> 9.16	> 9.16			> 9.16	> 9.16			> 9.16	> 9.16		
 MMV1137230	COC1=C(O)C=CC(=C1)C1=CN=C2SC(NCC3=CC=CS3)=NN12	85.8		> 9.21	> 9.21			> 9.21	> 9.21			> 9.21	> 9.21		
 MMV1137248	COC1=C(OC)C=C(C=C1)C1=CN=C2SC(NCCC3=CC=C(C=C3)S(N)(=O)=O)=NN12	87.0		5.94	6.81	16.2	0.321	> 7.18	> 7.18			> 7.18	> 7.18		
 MMV1137277	COC1=C(OC)C=C(C=C1)C1=CN=C2SC(NCCC3=CC=NC=C3)=NN12	88.3		7.04	8.35	12.9	0.15	> 8.65	> 8.65	4.06	0.383	> 8.65	> 8.65		
 MMV1137336	NS(=O)(=O)C1=CC=C(CCNC2=NN3C(S2)=NC=C3C2=CC=C(Cl)C=C2)C=C1	85.8		> 7.60	> 7.60			> 7.60	> 7.60			> 7.60	> 7.60		
 MMV1137358	CS(=O)(=O)NC1=CC=CC(=C1)C1=CN=C2SC(NCCOC3=CC=CC=C3)=NN12	84.6		5.02	> 7.68	4.91	0.558	> 7.68	> 7.68			> 7.68	> 7.68		
 MMV1137361	C(NC1=NN2C(S1)=NC=C2C1=CC=C2C=CC=CC2=C1)C1=CC=NC=C1	92.6		> 9.23	> 9.23			> 9.23	> 9.23			> 9.23	> 9.23		
 MMV1137371	NS(=O)(=O)C1=CC=C(CCNC2=NN3C(S2)=NC=C3C2=CC(Cl)=C(F)C=C2)C=C1	86.4		> 7.30	> 7.30			> 7.30	> 7.30	2.59	0.44	7.3	> 7.30	96	0.344
 MMV1137424	CC(=O)C1=CC=C(S1)C1=CN=C2SC(NCCN3CCOCC3)=NN12	88.3		5.97	> 8.74	1.89	0.43	> 8.74	> 8.74			> 8.74	> 8.74		
 MMV1137458	NS(=O)(=O)C1=CC=C(CCNC2=NN3C(S2)=NC=C3C2=CC(Cl)=CC=C2)C=C1	89.5		> 7.60	> 7.60			> 7.60	> 7.60			> 7.60	> 7.60	1.14	0.295
 MMV1137484	CC(C)CNC1=NN2C(S1)=NC=C2C1=CC=C(O)C=C1	85.2		> 11.4	> 11.4			> 11.4	> 11.4			> 11.4	> 11.4		
 MMV1137487	C(NC1=NN2C(S1)=NC=C2C1=CC=CS1)C1=CC=NC=C1	84.0		> 10.5	> 10.5			> 10.5	> 10.5			> 10.5	> 10.5		
 MMV1137490	COC1=C(OC)C=C(C=C1)C1=CN=C2SC(NCC3=CC=NC=C3)=NN12	88.9		> 8.98	> 8.98			> 8.98	> 8.98			> 8.98	> 8.98		
 MMV1137504	COC1=C(OC)C=C(C=C1)C1=CN=C2N1C=C(C=C2NC(C)=O)C1=CC=C2NC=CC2=C1	84.0		> 7.74	> 7.74			> 7.74	> 7.74			> 7.74	> 7.74		
 MMV1137514	CC(=O)NC1=CC=CC(=C1)C1=CN2C(=CN=C2C(NC=O)=C1)C1=CC=C(C=C1)C(C)=O	87.0		> 8.00	> 8.00	0.536	0.0495	> 8.00	> 8.00	0.38	0.804	> 8.00	> 8.00		
 MMV1137648	CN(C)C1=CC=C(C=C1)C1=NN=C2C=CC=CN12	86.4		6.56	> 13.8	2.86	0.849	> 13.8	> 13.8			13.3	> 13.8	10.2	0.407
 MMV1137776	O1C2=C(C=CC=C2)C2=C1C(=CC=C2)C1=CN2C=CN=C2C=C1	89.5		4.57	> 11.6	2.08	0.703	9.87	> 11.6	5.27	0.667	> 11.6	> 11.6		
 MMV1138473	CC(=O)NC1=CC=CC(=C1)C1=CC=NC2=C1CC(O2)C(=O)NCC1=CC=CS1	93.7		2.74	3.24	13.2	0.157	2.5	2.94	13.5	0.74	8.38	> 8.39	58.8	0.264
 MMV1138484	CC(=O)NC1=CC=CC(=C1)C1=C2CC(C)(OC2=NC=C1)C(=O)NCC1=CC(Cl)=CC=C1	87.3		4.2	> 7.57	2.25	0.29	6.51	> 7.57	12	0.561	7.31	> 7.57	12.6	0.486
 MMV1138506	CC(=O)C1=CC=CC(=C1)C1=CC=NC2=C1CC(O2)C(=O)NCCC1=CC=CC=C1	87.3		1.89	5.14	2.2	0.478	1.37	2.93	2.91	0.95	> 8.54	> 8.54		
 MMV1138543	CC1(CC2=C(C=CN=C2O1)C1=CC2=C(OCO2)C=C1)C(=O)NCC1=CC=CO1	83.7		2.28	> 8.72	1.2	0.613	0.725	2.26	1.94	0.783	> 8.72	> 8.72	0.436	0.176
 MMV1138582	CC(=O)NC1=CC=C(C=C1)C1=CC=NC2=C1CC(O2)C(=O)NC1=CC=CC(=C1)C(F)(F)F	88.2		4.23	> 7.48	2.55	0.154	7.33	> 7.48	12.8	0.428	6.55	> 7.48	10.7	0.4
 MMV1138604	CC1(CC2=C(C=CN=C2O1)C1=CC=CC=C1)C(=O)NCC1=CC=CS1	85.5		7.82	> 9.42	8.35	0.0479	4.59	8.08	3.88	0.701	> 9.42	> 9.42	0.144	0.18
 MMV1138641	CC1(CC2=C(C=CN=C2O1)C1=CC2=C(OCO2)C=C1)C(=O)NCCC(F)(F)F	83.7		3.07	6.15	3.16	0.521	2.1	4.69	2.73	0.858	7.48	> 8.37	14.8	0.74
 MMV1138693	COC1=C(OC)C=C(NC(=O)C2CC3=C(O2)N=CC=C3C2=CC(=CC=C2)C(C)=O)C=C1	84.6		4.93	> 7.89	3.79	0.351	4.81	> 7.89	3.1	0.695	> 7.89	> 7.89	0.226	0.216
 MMV1138779	CC(=O)NC1=CC=CC(=C1)C1=CC=NC2=C1CC(O2)C(=O)NCC1=CC=CO1	86.4		2.87	6.23	2.84	0.407	2.22	4.49	3.12	0.86	> 8.74	> 8.74	0.324	0.726
 MMV1138790	COC1=CC=C(NC(=O)C2(C)CC3=C(C=CN=C3O2)C2=CC(NC(C)=O)=CC=C2)C=C1	87.3		1.66	3.58	2.85	0.605	1.13	2.37	2.96	0.838	> 7.90	> 7.90		
 MMV1140594	CN(C)C1=CC=C(C=C1)C1=CC2=CN=C(NC3=CC(OC4=CC=CC=C4)=CC=C3)C=C2N1C	83.6	49	2.77	6.91	2.41	0.586	9.95	> 10.0	44.7	0.888	6.49	> 10.0	1.74	0.698
 MMV1140631	CC(C)OC1=CC=C(NC2=NC=C3C=C(N(C)C3=C2)C2=CC(=CC=C2)C(F)(F)F)C=C1	84.4	-2	4.03	5.18	8.74	0.3	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1140897	C(N1C2=CC(NC3=CC=C(C=C3)N3CCOCC3)=NC=C2C=C1C1=CN=CC=C1)C1=CC=CC=C1	88.5	38	4.83	8.6	3.82	0.619	9.97	> 10.0	16.1	0.869	> 10.0	> 10.0		
 MMV1140914	CN1C2=CC(NC3=CC=C(OC(F)(F)F)C=C3)=NC=C2C=C1C1=CN=CC=C1	94.2	46	5.61	9.47	4.19	0.443	> 10.0	> 10.0	2.53	0.903	> 10.0	> 10.0		
 MMV1140971	COC1=CC=C(NC2=NC=C3C=C(N(CC4=CC=CC=C4)C3=C2)C2=CC=C(C=C2)C(=O)N(C)C)C=C1	87.6	49	8.59	9.34	26.3	0.641	> 10.0	> 10.0	6.65	0.257	> 10.0	> 10.0		
 MMV1141010	COC1=CC(NC2=NC=C3C=C(N(CC4=CC=CC=C4)C3=C2)C2=CN(C)N=C2)=CC(OC)=C1OC	84.3	48	3.03	3.72	10.8	0.103	4.75	> 10.0	1.9	0.778	> 10.0	> 10.0		
 MMV1141094	CC(=O)NC1=CC=C(NC2=NC=C3C=C(N(CC4=CC=CC=C4)C3=C2)C2=CN=CC=C2)C=C1	83.2	6	4.06	7.61	3.49	0.716	> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1141108	CN1C=C(C=N1)C1=CC2=CN=C(NC3=CC=C(C=C3)C(N)=O)C=C2N1CC1=CC=CC=C1	84.3	13	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
 MMV1141135	CN(C)C(=O)C1=CC=C(C=C1)C1=CC2=CN=C(NC3=CC(O)=CC=C3)C=C2N1CC1=CC=CC=C1	86.5	43	4.99	9.88	3.22	0.748	> 10.0	> 10.0	12	0.529	> 10.0	> 10.0		
 MMV1141246	CC(=O)OC1=CC=CC(C(=O)N2CC3ON=C(C3C2)C2=C(Cl)C=CC=C2F)=C1C	84.3	-16	> 10.0	> 10.0			> 10.0	> 10.0			> 10.0	> 10.0		
